agency_id,agency_name,grade,score,checked,expiry_status,days_until_expiry,needs_attention,attention_reason,top_fix
adirondack-trailways-pine-hill-trailways,Adirondack Trailways Pine Hill Trailways,F,2.3,2026-07-04,stale,-1646,yes,Service data has expired,"Re-export the feed with a calendar that reaches further out, and set feed_info feed_end_date past your next service change."
madison-county-transit-1145,Madison County Transit,F,7.0,2026-07-04,stale,-1519,yes,Service data has expired,"Re-export the feed with a calendar that reaches further out, and set feed_info feed_end_date past your next service change."
chatham-area-transit-cat,Chatham Area Transit (CAT),F,8.7,2026-07-04,stale,-1700,yes,Service data has expired,"Re-export the feed with a calendar that reaches further out, and set feed_info feed_end_date past your next service change."
thebus,TheBus,F,9.5,2026-07-04,stale,-945,yes,Service data has expired,"Re-export the feed with a calendar that reaches further out, and set feed_info feed_end_date past your next service change."
wichita-transit,Wichita Transit,F,11.7,2026-07-04,stale,-1051,yes,Service data has expired,"Re-export the feed with a calendar that reaches further out, and set feed_info feed_end_date past your next service change."
via-metropolitan-transit-via,VIA Metropolitan Transit (VIA),F,12.4,2026-07-04,stale,-790,yes,Service data has expired,"Re-export the feed with a calendar that reaches further out, and set feed_info feed_end_date past your next service change."
lehigh-and-northampton-transportation-authority-lanta,Lehigh and Northampton Transportation Authority (LANTA),F,14.1,2026-07-04,stale,-1397,yes,Service data has expired,"Re-export the feed with a calendar that reaches further out, and set feed_info feed_end_date past your next service change."
city-of-tracy-tracer,City of Tracy (TRACER),F,14.6,2026-07-04,stale,-1434,yes,Service data has expired,"Re-export the feed with a calendar that reaches further out, and set feed_info feed_end_date past your next service change."
city-of-tracy-tracer-877,City of Tracy (TRACER),F,14.6,2026-07-04,stale,-1434,yes,Service data has expired,"Re-export the feed with a calendar that reaches further out, and set feed_info feed_end_date past your next service change."
new-york-trailways,New York Trailways,F,14.6,2026-07-04,stale,-1646,yes,Service data has expired,"Re-export the feed with a calendar that reaches further out, and set feed_info feed_end_date past your next service change."
transit-authority-of-river-city-tarc,Transit Authority of River City (TARC),F,16.4,2026-07-04,stale,-392,yes,Service data has expired,"Re-export the feed with a calendar that reaches further out, and set feed_info feed_end_date past your next service change."
