agency_id,agency_name,grade,score,checked,expiry_status,days_until_expiry,needs_attention,attention_reason,top_fix,shapes_txt_status
the-jule,The Jule,F,41.8,2026-07-06,stale,-2593,yes,Service data has expired,"Re-export the feed with a calendar that reaches further out, and set feed_info feed_end_date past your next service change.",
citibus-2304,Citibus,F,48.4,2026-07-06,stale,-552,yes,Service data has expired,"Re-export the feed with a calendar that reaches further out, and set feed_info feed_end_date past your next service change.",
des-moines-area-regional-transit-authority-dart,Des Moines Area Regional Transit Authority (DART),F,58.3,2026-07-06,current,47,yes,Service data expires in 47 day(s),Ask your AVL vendor why the feed stopped advancing; the GTFS-Realtime header timestamp should move forward on every publish.,
metropolitan-transit-authority-of-black-hawk-county,Metropolitan Transit Authority of Black Hawk County,D,60.3,2026-07-06,stale,-2379,yes,Service data has expired,"Re-export the feed with a calendar that reaches further out, and set feed_info feed_end_date past your next service change.",
marshalltown-municipal-transit,Marshalltown Municipal Transit,D,69.1,2026-07-06,expiring_soon,25,yes,Service data expires in 25 day(s),Re-export with a validity window that reaches at least 60 days out.,
marshalltown-municipal-transit-194,Marshalltown Municipal Transit,D,69.1,2026-07-06,expiring_soon,25,yes,Service data expires in 25 day(s),Re-export with a validity window that reaches at least 60 days out.,
mason-city-public-transit,Mason City Public Transit,C,72.6,2026-07-06,expiring_soon,25,yes,Service data expires in 25 day(s),Re-export with a validity window that reaches at least 60 days out.,
mason-city-public-transit-204,Mason City Public Transit,C,72.6,2026-07-06,expiring_soon,25,yes,Service data expires in 25 day(s),Re-export with a validity window that reaches at least 60 days out.,
dodger-area-rapid-transit,Dodger Area Rapid Transit,C,72.9,2026-07-06,expiring_soon,25,yes,Service data expires in 25 day(s),Re-export with a validity window that reaches at least 60 days out.,
dodger-area-rapid-transit-203,Dodger Area Rapid Transit,C,72.9,2026-07-06,expiring_soon,25,yes,Service data expires in 25 day(s),Re-export with a validity window that reaches at least 60 days out.,
muscabus,MuscaBus,C,72.9,2026-07-06,expiring_soon,25,yes,Service data expires in 25 day(s),Re-export with a validity window that reaches at least 60 days out.,
muscabus-200,MuscaBus,C,72.9,2026-07-06,expiring_soon,25,yes,Service data expires in 25 day(s),Re-export with a validity window that reaches at least 60 days out.,
university-of-iowa-cambus-cambus,University of Iowa - CAMBUS (CAMBUS),C,75.1,2026-07-06,current,46,yes,Service data expires in 46 day(s),Set wheelchair_boarding to 1 (accessible) or 2 (not accessible) for every stop. A field survey can start with the busiest stops.,
university-of-iowa-cambus-cambus-197,University of Iowa - CAMBUS (CAMBUS),C,75.1,2026-07-06,current,46,yes,Service data expires in 46 day(s),Set wheelchair_boarding to 1 (accessible) or 2 (not accessible) for every stop. A field survey can start with the busiest stops.,
the-jule-2083,The Jule,C,76.0,2026-07-06,current,451,yes,Service window shortened unexpectedly on 2026-07-01,Set wheelchair_boarding to 1 (accessible) or 2 (not accessible) for every stop. A field survey can start with the busiest stops.,
iowa-city-transit-system,Iowa City Transit System,C,76.6,2026-07-06,current,56,yes,Service data expires in 56 day(s),Set wheelchair_boarding to 1 (accessible) or 2 (not accessible) for every stop. A field survey can start with the busiest stops.,
iowa-city-transit-system-559,Iowa City Transit System,C,76.6,2026-07-06,current,56,yes,Service data expires in 56 day(s),Set wheelchair_boarding to 1 (accessible) or 2 (not accessible) for every stop. A field survey can start with the busiest stops.,
10-15-transit,10-15 Transit,C,78.1,2026-07-06,current,57,yes,Service data expires in 57 day(s),Set wheelchair_boarding to 1 (accessible) or 2 (not accessible) for every stop. A field survey can start with the busiest stops.,
10-15-transit-195,10-15 Transit,C,78.1,2026-07-06,current,57,yes,Service data expires in 57 day(s),Set wheelchair_boarding to 1 (accessible) or 2 (not accessible) for every stop. A field survey can start with the busiest stops.,
clinton-municipal-transit-administration-clinton-mta,Clinton Municipal Transit Administration (Clinton MTA),B,81.1,2026-07-06,current,56,yes,Service data expires in 56 day(s),Set wheelchair_boarding to 1 (accessible) or 2 (not accessible) for every stop. A field survey can start with the busiest stops.,
clinton-municipal-transit-administration-clinton-mta-202,Clinton Municipal Transit Administration (Clinton MTA),B,81.1,2026-07-06,current,56,yes,Service data expires in 56 day(s),Set wheelchair_boarding to 1 (accessible) or 2 (not accessible) for every stop. A field survey can start with the busiest stops.,
cyride,CyRide,B,81.4,2026-07-06,current,41,yes,Service data expires in 41 day(s),Set wheelchair_boarding to 1 (accessible) or 2 (not accessible) for every stop. A field survey can start with the busiest stops.,
coralville-transit,Coralville Transit,B,82.8,2026-07-06,current,177,yes,Score changed sharply on 2026-06-25,Set wheelchair_boarding to 1 (accessible) or 2 (not accessible) for every stop. A field survey can start with the busiest stops.,
cedar-rapids-transit,Cedar Rapids Transit,B,89.5,2026-07-06,current,56,yes,Service data expires in 56 day(s),"Set wheelchair_accessible on every trip (most small-agency fleets are 100% accessible, so this is often a single default).",
cedar-rapids-transit-198,Cedar Rapids Transit,B,89.5,2026-07-06,current,56,yes,Service data expires in 56 day(s),"Set wheelchair_accessible on every trip (most small-agency fleets are 100% accessible, so this is often a single default).",
burlington-urban-service,Burlington Urban Service,C,75.2,2026-07-06,current,86,no,,Set wheelchair_boarding to 1 (accessible) or 2 (not accessible) for every stop. A field survey can start with the busiest stops.,
burlington-urban-service-199,Burlington Urban Service,C,75.2,2026-07-06,current,86,no,,Set wheelchair_boarding to 1 (accessible) or 2 (not accessible) for every stop. A field survey can start with the busiest stops.,
coralville-transit-196,Coralville Transit,B,81.1,2026-07-06,current,177,no,,Set wheelchair_boarding to 1 (accessible) or 2 (not accessible) for every stop. A field survey can start with the busiest stops.,
metropolitan-transit-authority-of-black-hawk-county-2414,Metropolitan Transit Authority of Black Hawk County,B,81.5,2026-07-06,current,179,no,,Set wheelchair_boarding to 1 (accessible) or 2 (not accessible) for every stop. A field survey can start with the busiest stops.,
sioux-city-transit-system,Sioux City Transit System,B,82.6,2026-07-06,current,179,no,,Set wheelchair_boarding to 1 (accessible) or 2 (not accessible) for every stop. A field survey can start with the busiest stops.,
sioux-city-transit-system-191,Sioux City Transit System,B,82.6,2026-07-06,current,179,no,,Set wheelchair_boarding to 1 (accessible) or 2 (not accessible) for every stop. A field survey can start with the busiest stops.,
bettendorf-transit,Bettendorf Transit,B,84.9,2026-07-06,current,87,no,,Set wheelchair_boarding to 1 (accessible) or 2 (not accessible) for every stop. A field survey can start with the busiest stops.,
corridorrides,CorridorRides,B,86.7,2026-07-06,current,148,no,,Set wheelchair_boarding to 1 (accessible) or 2 (not accessible) for every stop. A field survey can start with the busiest stops.,
