agency_id,agency_name,grade,score,checked,expiry_status,days_until_expiry,needs_attention,attention_reason,top_fix,shapes_txt_status
cherriots,Cherriots,F,23.8,2026-07-05,lapsed,-184,yes,Service data has expired,"Re-export the feed with a calendar that reaches further out, and set feed_info feed_end_date past your next service change.",
south-metro-area-regional-transit-smart,South Metro Area Regional Transit (SMART),F,30.1,2026-07-05,stale,-1046,yes,Service data has expired,"Re-export the feed with a calendar that reaches further out, and set feed_info feed_end_date past your next service change.",
south-metro-area-regional-transit-smart-248,South Metro Area Regional Transit (SMART),F,30.1,2026-07-05,stale,-1046,yes,Service data has expired,"Re-export the feed with a calendar that reaches further out, and set feed_info feed_end_date past your next service change.",
lane-transit-district-ltd,Lane Transit District (LTD),F,39.2,2026-07-05,lapsed,-155,yes,Service data has expired,"Re-export the feed with a calendar that reaches further out, and set feed_info feed_end_date past your next service change.",
water-avenue-shuttle,Water Avenue Shuttle,F,41.5,2026-07-05,stale,-2242,yes,Service data has expired,"Re-export the feed with a calendar that reaches further out, and set feed_info feed_end_date past your next service change.",
shuttle-oregon,Shuttle Oregon,F,42.1,2026-07-05,stale,-1130,yes,Service data has expired,"Re-export the feed with a calendar that reaches further out, and set feed_info feed_end_date past your next service change.",
rogue-valley-transportation-district-rvtd-3103,Rogue Valley Transportation District (RVTD),F,44.1,2026-07-05,lapsed,-14,yes,Service data has expired,"Re-export the feed with a calendar that reaches further out, and set feed_info feed_end_date past your next service change.",
valley-retriever-busline,Valley Retriever Busline,F,44.5,2026-07-05,stale,-3338,yes,Service data has expired,"Re-export the feed with a calendar that reaches further out, and set feed_info feed_end_date past your next service change.",
city-of-corvallis,City of Corvallis,F,45.3,2026-07-05,stale,-1830,yes,Service data has expired,"Re-export the feed with a calendar that reaches further out, and set feed_info feed_end_date past your next service change.",
city-of-corvallis-136,City of Corvallis,F,45.3,2026-07-05,stale,-1830,yes,Service data has expired,"Re-export the feed with a calendar that reaches further out, and set feed_info feed_end_date past your next service change.",
northwest-point,NorthWest POINT,F,45.9,2026-07-05,stale,-1816,yes,Service data has expired,"Re-export the feed with a calendar that reaches further out, and set feed_info feed_end_date past your next service change.",
philomath-connection,Philomath Connection,F,46.4,2026-07-05,stale,-1556,yes,Service data has expired,"Re-export the feed with a calendar that reaches further out, and set feed_info feed_end_date past your next service change.",
philomath-connection-878,Philomath Connection,F,46.4,2026-07-05,stale,-1556,yes,Service data has expired,"Re-export the feed with a calendar that reaches further out, and set feed_info feed_end_date past your next service change.",
kayak-transit-ctuir,Kayak Transit (CTUIR),F,46.7,2026-07-05,stale,-370,yes,Service data has expired,"Re-export the feed with a calendar that reaches further out, and set feed_info feed_end_date past your next service change.",
kayak-transit-ctuir-272,Kayak Transit (CTUIR),F,46.7,2026-07-05,stale,-370,yes,Service data has expired,"Re-export the feed with a calendar that reaches further out, and set feed_info feed_end_date past your next service change.",
rogue-valley-transportation-district-rvtd,Rogue Valley Transportation District (RVTD),F,47.4,2026-07-05,lapsed,-112,yes,Service data has expired,"Re-export the feed with a calendar that reaches further out, and set feed_info feed_end_date past your next service change.",
