agency_id,agency_name,grade,score,checked,expiry_status,days_until_expiry,needs_attention,attention_reason,top_fix,shapes_txt_status
adirondack-trailways-pine-hill-trailways,Adirondack Trailways Pine Hill Trailways,F,2.3,2026-07-06,stale,-1648,yes,Service data has expired,"Re-export the feed with a calendar that reaches further out, and set feed_info feed_end_date past your next service change.",
new-york-trailways,New York Trailways,F,14.6,2026-07-06,stale,-1648,yes,Service data has expired,"Re-export the feed with a calendar that reaches further out, and set feed_info feed_end_date past your next service change.",
steuben-area-rides,Steuben Area Rides,F,18.2,2026-07-06,stale,-2013,yes,Service data has expired,"Re-export the feed with a calendar that reaches further out, and set feed_info feed_end_date past your next service change.",
greater-glens-falls-transit,Greater Glens Falls Transit,F,20.2,2026-07-06,stale,-918,yes,Service data has expired,"Re-export the feed with a calendar that reaches further out, and set feed_info feed_end_date past your next service change.",
herkimer-oneida-counties-transportation-study-hocts,Herkimer-Oneida Counties Transportation Study (HOCTS),F,24.9,2026-07-06,stale,-1648,yes,Service data has expired,"Re-export the feed with a calendar that reaches further out, and set feed_info feed_end_date past your next service change.",
steuben-county-transit,Steuben County Transit,F,26.5,2026-07-06,lapsed,-187,yes,Service data has expired,"Re-export the feed with a calendar that reaches further out, and set feed_info feed_end_date past your next service change.",
niagara-frontier-transportation-authority-nfta,Niagara Frontier Transportation Authority (NFTA),F,29.7,2026-07-06,stale,-751,yes,Service data has expired,"Re-export the feed with a calendar that reaches further out, and set feed_info feed_end_date past your next service change.",
gloversville-transit-services,Gloversville Transit Services,F,30.2,2026-07-06,stale,-918,yes,Service data has expired,"Re-export the feed with a calendar that reaches further out, and set feed_info feed_end_date past your next service change.",
westchester-county-bee-line-system-wcdot-2353,Westchester County Bee-Line System (WCDOT),F,30.4,2026-07-06,lapsed,-309,yes,Service data has expired,"Re-export the feed with a calendar that reaches further out, and set feed_info feed_end_date past your next service change.",
gloversville-transit-system,Gloversville Transit System,F,32.2,2026-07-06,lapsed,-52,yes,Service data has expired,"Re-export the feed with a calendar that reaches further out, and set feed_info feed_end_date past your next service change.",
suffolk-county-transit,Suffolk County Transit,F,32.5,2026-07-06,lapsed,-187,yes,Service data has expired,"Re-export the feed with a calendar that reaches further out, and set feed_info feed_end_date past your next service change.",
cortland-county-public-transportation,Cortland County Public Transportation,F,32.8,2026-07-06,stale,-463,yes,Service data has expired,"Re-export the feed with a calendar that reaches further out, and set feed_info feed_end_date past your next service change.",
ny-waterway,NY Waterway,F,33.0,2026-07-06,stale,-918,yes,Service data has expired,"Re-export the feed with a calendar that reaches further out, and set feed_info feed_end_date past your next service change.",
yates-transit-service,Yates Transit Service,F,34.7,2026-07-06,lapsed,-187,yes,Service data has expired,"Re-export the feed with a calendar that reaches further out, and set feed_info feed_end_date past your next service change.",
clinton-county-public-transit-ccpt,Clinton County Public Transit (CCPT),F,35.3,2026-07-06,lapsed,-36,yes,Service data has expired,"Re-export the feed with a calendar that reaches further out, and set feed_info feed_end_date past your next service change.",
c-tran-305,C TRAN,F,37.2,2026-07-06,stale,-1283,yes,Service data has expired,"Re-export the feed with a calendar that reaches further out, and set feed_info feed_end_date past your next service change.",
regional-transit-service,Regional Transit Service,F,37.6,2026-07-06,stale,-1922,yes,Service data has expired,"Re-export the feed with a calendar that reaches further out, and set feed_info feed_end_date past your next service change.",
broome-county-transit-b-c-transit,Broome County Transit (B.C. Transit),F,38.2,2026-07-06,stale,-1283,yes,Service data has expired,"Re-export the feed with a calendar that reaches further out, and set feed_info feed_end_date past your next service change.",
regional-transit-service-seneca-rts-seneca,Regional Transit Service Seneca (RTS Seneca),F,38.8,2026-07-06,stale,-5849,yes,Service data has expired,"Re-export the feed with a calendar that reaches further out, and set feed_info feed_end_date past your next service change.",
newburgh-beacon-shuttle-leprechaun-lines,Newburgh Beacon Shuttle (Leprechaun Lines),F,40.1,2026-07-06,lapsed,-187,yes,Service data has expired,"Re-export the feed with a calendar that reaches further out, and set feed_info feed_end_date past your next service change.",
hornell-area-transit,Hornell Area Transit,F,40.3,2026-07-06,expiring_soon,12,yes,Service data expires in 12 day(s),Re-export with a validity window that reaches at least 60 days out.,
st-lawrence-county-public-transit,St Lawrence County Public Transit,F,40.4,2026-07-06,lapsed,-67,yes,Service data has expired,"Re-export the feed with a calendar that reaches further out, and set feed_info feed_end_date past your next service change.",
otsego-express-public-transportation,Otsego Express Public Transportation,F,40.6,2026-07-06,lapsed,-36,yes,Service data has expired,"Re-export the feed with a calendar that reaches further out, and set feed_info feed_end_date past your next service change.",
corning-erwin-area-transit-system-ceats,Corning Erwin Area Transit System (CEATS),F,40.9,2026-07-06,lapsed,-187,yes,Service data has expired,"Re-export the feed with a calendar that reaches further out, and set feed_info feed_end_date past your next service change.",
jfk-airtrain,JFK Airtrain,F,41.8,2026-07-06,stale,-1648,yes,Service data has expired,"Re-export the feed with a calendar that reaches further out, and set feed_info feed_end_date past your next service change.",
access-allegany,Access Allegany,F,42.0,2026-07-06,lapsed,-187,yes,Service data has expired,"Re-export the feed with a calendar that reaches further out, and set feed_info feed_end_date past your next service change.",
academy-bus,Academy Bus,F,42.3,2026-07-06,stale,-1181,yes,Service data has expired,"Re-export the feed with a calendar that reaches further out, and set feed_info feed_end_date past your next service change.",
village-of-cooperstown-trolly-system,Village of Cooperstown Trolly System,F,44.7,2026-07-06,stale,-1762,yes,Service data has expired,"Re-export the feed with a calendar that reaches further out, and set feed_info feed_end_date past your next service change.",
watertown-citibus,Watertown Citibus,F,45.7,2026-07-06,lapsed,-187,yes,Service data has expired,"Re-export the feed with a calendar that reaches further out, and set feed_info feed_end_date past your next service change.",
schuyler-county-transit,Schuyler County Transit,F,45.9,2026-07-06,stale,-918,yes,Service data has expired,"Re-export the feed with a calendar that reaches further out, and set feed_info feed_end_date past your next service change.",
kiryas-joel-area-transit,Kiryas Joel Area Transit,F,50.7,2026-07-06,stale,-735,yes,Service data has expired,"Re-export the feed with a calendar that reaches further out, and set feed_info feed_end_date past your next service change.",
middletown-area-transit-2324,Middletown Area Transit,F,51.7,2026-07-06,stale,-903,yes,Service data has expired,"Re-export the feed with a calendar that reaches further out, and set feed_info feed_end_date past your next service change.",
transit-orange-newburgh-local-transit,Transit Orange / Newburgh Local Transit,F,55.3,2026-07-06,stale,-903,yes,Service data has expired,"Re-export the feed with a calendar that reaches further out, and set feed_info feed_end_date past your next service change.",
st-lawrence-county-public-transit-2611,St Lawrence County Public Transit,F,55.5,2026-07-06,expiring_soon,30,yes,Service data expires in 30 day(s),Set wheelchair_boarding to 1 (accessible) or 2 (not accessible) for every stop. A field survey can start with the busiest stops.,ready
broome-county-transit-b-c-transit-2079,Broome County Transit (B.C. Transit),F,57.6,2026-07-06,lapsed,-6,yes,Service data has expired,"Re-export the feed with a calendar that reaches further out, and set feed_info feed_end_date past your next service change.",
franklin-county-public-transportation,Franklin County Public Transportation,F,58.4,2026-07-06,current,56,yes,Service data expires in 56 day(s),Set wheelchair_boarding to 1 (accessible) or 2 (not accessible) for every stop. A field survey can start with the busiest stops.,
metropolitan-transit-authority-mta-510,NYC Bus Company,D,63.2,2026-07-06,current,61,yes,Score changed sharply on 2026-06-23,Check the trip updates endpoint with your AVL vendor; it should return a fresh GTFS-Realtime protobuf on every request.,
watertown-citibus-2881,Watertown Citibus,D,63.7,2026-07-06,expiring_soon,30,yes,Service data expires in 30 day(s),Set wheelchair_boarding to 1 (accessible) or 2 (not accessible) for every stop. A field survey can start with the busiest stops.,ready
metropolitan-transit-authority-mta,Long Island Rail Road,D,67.4,2026-07-06,current,41,yes,Service window shortened unexpectedly on 2026-07-02,Check the trip updates endpoint with your AVL vendor; it should return a fresh GTFS-Realtime protobuf on every request.,
metropolitan-transit-authority-mta-528,Bronx Bus,D,69.1,2026-07-06,current,61,yes,Score changed sharply on 2026-06-23,Set wheelchair_boarding to 1 (accessible) or 2 (not accessible) for every stop. A field survey can start with the busiest stops.,
metropolitan-transit-authority-mta-512,Brooklyn Bus,D,69.2,2026-07-06,current,61,yes,Score changed sharply on 2026-06-23,Set wheelchair_boarding to 1 (accessible) or 2 (not accessible) for every stop. A field survey can start with the busiest stops.,
metropolitan-transit-authority-mta-514,Staten Island Bus,D,69.2,2026-07-06,current,61,yes,Score changed sharply on 2026-06-23,Set wheelchair_boarding to 1 (accessible) or 2 (not accessible) for every stop. A field survey can start with the busiest stops.,
metropolitan-transit-authority-mta-520,Queens Bus,D,69.5,2026-07-06,current,61,yes,Score changed sharply on 2026-06-23,Set wheelchair_boarding to 1 (accessible) or 2 (not accessible) for every stop. A field survey can start with the busiest stops.,
metropolitan-transit-authority-mta-513,Manhattan Bus,C,70.4,2026-07-06,current,61,yes,Score changed sharply on 2026-06-23,Set wheelchair_boarding to 1 (accessible) or 2 (not accessible) for every stop. A field survey can start with the busiest stops.,
metro-north-railroad,Metro-North Railroad,C,71.5,2026-07-06,current,173,yes,Service window shortened unexpectedly on 2026-06-25,Check the vehicle positions endpoint with your AVL vendor; it should return a fresh GTFS-Realtime protobuf on every request.,
tompkins-consolidated-area-transit-inc,Tompkins Consolidated Area Transit Inc,C,74.3,2026-07-06,current,40,yes,Service data expires in 40 day(s),Set wheelchair_boarding to 1 (accessible) or 2 (not accessible) for every stop. A field survey can start with the busiest stops.,
mta,Metro-North Railroad,C,77.2,2026-07-06,current,173,yes,Service window shortened unexpectedly on 2026-06-25,"Add fare_attributes.txt (or Fares v2 files) with your fare structure. If your service is fare-free, ask to have it marked fare-free instead.",
capital-district-transportation-authority-cdta,Capital District Transportation Authority (CDTA),A,90.4,2026-07-06,current,54,yes,Service data expires in 54 day(s),"Check with your AVL vendor that every vehicle assignment flows into TripUpdates, including school-day and tripper runs.",
staten-island-ferry,Staten Island Ferry,F,26.2,2026-06-27,unknown,,no,,Add feed_start_date and feed_end_date to feed_info.txt and include calendar end dates in your export.,
